id,species,year,month,total_length_mm,weight_g,sampling_site,lat,lon,protective_regime,proximity_human_settlements,date
249,Patella aspera,1996,11,27.00,"3,55",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32967,Patella candei,1996,11,27.00,"1,16",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32968,Patella candei,1996,11,27.00,"1,25",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33019,Patella candei,1996,11,29.00,"1,61",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
81,Patella aspera,1996,11,30.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
203,Patella aspera,1996,11,30.00,"3,26",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
248,Patella aspera,1996,11,30.00,"3,17",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33018,Patella candei,1996,11,30.00,"2,00",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33205,Patella candei,1996,11,30.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
120,Patella aspera,1996,11,31.00,"1,84",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
72,Patella aspera,1996,11,32.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
82,Patella aspera,1996,11,32.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
287,Patella aspera,1996,11,32.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33016,Patella candei,1996,11,32.00,"2,15",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33204,Patella candei,1996,11,32.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
28,Patella aspera,1996,11,33.00,"3,11",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
77,Patella aspera,1996,11,33.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
83,Patella aspera,1996,11,33.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
84,Patella aspera,1996,11,33.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
144,Patella aspera,1996,11,33.00,"2,38",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33004,Patella candei,1996,11,33.00,"2,30",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33012,Patella candei,1996,11,33.00,"2,69",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33014,Patella candei,1996,11,33.00,"2,62",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33015,Patella candei,1996,11,33.00,"2,40",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33017,Patella candei,1996,11,33.00,"2,25",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33207,Patella candei,1996,11,33.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
23,Patella aspera,1996,11,34.00,"4,07",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
26,Patella aspera,1996,11,34.00,"4,14",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
69,Patella aspera,1996,11,34.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
119,Patella aspera,1996,11,34.00,"4,11",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
202,Patella aspera,1996,11,34.00,"2,91",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
247,Patella aspera,1996,11,34.00,"3,96",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32965,Patella candei,1996,11,34.00,"2,17",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32999,Patella candei,1996,11,34.00,"3,05",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33070,Patella candei,1996,11,34.00,"2,62",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33092,Patella candei,1996,11,34.00,"2,75",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33123,Patella candei,1996,11,34.00,"2,79",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33173,Patella candei,1996,11,34.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33198,Patella candei,1996,11,34.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
