Individual_number,Species,Locality,Data,Year,Month,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements,
1,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.02,3.37,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
2,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.7,3.48,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
3,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.38,3.09,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
4,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.68,2.23,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
5,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.38,2.26,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
6,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.79,2.88,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
7,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.79,2.36,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
8,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.14,2.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
9,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.65,2.85,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
10,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.61,2.83,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
11,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.74,2.84,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
12,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.78,2.89,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
13,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.97,2.13,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
14,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.79,2.29,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
