Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
1,Phorcus mariae,Cape verde,2017,7,01/07/2017,19.76,3.1,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
2,Phorcus mariae,Cape verde,2017,7,01/07/2017,20.89,4.04,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
3,Phorcus mariae,Cape verde,2017,7,01/07/2017,20.02,3.33,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
4,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.27,2.92,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
5,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.04,2.47,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
6,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.36,1.98,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
7,Phorcus mariae,Cape verde,2017,7,01/07/2017,20.01,3.58,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
8,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.26,2.27,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
9,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.32,1.55,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
10,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.46,2.33,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
11,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.53,2.8,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
12,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.79,1.92,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
13,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.99,1.78,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
14,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.81,3.23,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
15,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.63,1.44,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
16,Phorcus mariae,Cape verde,2017,7,01/07/2017,20.04,3.59,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
17,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.31,1.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
18,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.31,1.15,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
19,Phorcus mariae,Cape verde,2017,7,01/07/2017,21.93,4.54,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
20,Phorcus mariae,Cape verde,2017,7,01/07/2017,21.9,4.58,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
21,Phorcus mariae,Cape verde,2017,7,01/07/2017,20.34,3.39,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
22,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.2,2.5,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
23,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.64,2.21,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
24,Phorcus mariae,Cape verde,2017,7,01/07/2017,20.64,3.98,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
25,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.67,2.8,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
26,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.79,2.15,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
27,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.17,2.39,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
28,Phorcus mariae,Cape verde,2017,7,01/07/2017,17,1.8,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
