Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements,accessibility
1,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.35,4.45,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
2,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,23.48,4.81,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
3,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.48,1.64,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
4,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.44,3.02,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
5,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.96,4.31,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
6,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.18,1.78,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
7,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.12,0.48,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
8,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.83,3.36,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
9,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.8,2.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
10,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.2,1.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
11,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.97,2.84,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
12,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.1,2.72,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
13,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.9,1.56,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
14,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.76,2.1,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
15,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.34,2.29,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
16,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.65,2.01,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
17,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.97,1.95,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
18,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.21,1.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
19,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.13,3.28,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
20,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.44,1.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
21,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.94,2.33,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
22,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.65,2.42,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
23,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.82,1.69,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
24,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.78,1.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
25,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.58,1.26,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
26,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.44,0.74,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
27,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.69,1.54,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
28,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.96,0.91,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
29,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.28,0.83,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
30,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.6,0.9,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
31,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.24,0.92,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
32,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.38,0.72,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
33,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.9,0.62,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
