Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Water_salinity,Water_temperature,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
1,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,19.62,4.12,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
2,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20.11,3.6,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
3,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,16.72,1.57,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
4,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,22.51,6.34,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
5,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,18.68,1.96,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
6,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,19.5,2.61,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
7,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,15.41,1.08,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
8,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,16.9,1.46,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
9,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,13.73,1.04,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
10,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,21.99,4.74,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
11,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,21.43,4.41,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
12,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.23,1.6,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
13,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.23,1.72,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
14,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,18.78,2.86,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
15,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20.35,3.18,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
16,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.36,1.66,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
17,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20,2.81,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
18,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,15.07,1.38,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
19,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20.1,2.59,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
20,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,15.89,1.5,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
21,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,13.94,0.94,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
22,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,16.85,1.51,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
23,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,13.38,0.78,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
24,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,12.63,0.79,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
25,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,11.7,0.62,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
26,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,11.48,0.59,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
27,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,14.37,1.23,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
28,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,11.43,0.55,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
29,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,11.77,0.63,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
30,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,10.65,0.45,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
31,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,12.34,0.54,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
32,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,18.04,2.9,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
33,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,18.75,3.29,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
