site_code,site_name,sort_order,latitude,longitude,region,marine_common_season,marine_season_code,target_assemblage,size_mm,count,species
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,15,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,16,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,17,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,18,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,19,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,21,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,22,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,23,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,24,7,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,25,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,26,8,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,27,7,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,chthamalus/balanus,29,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,17,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,19,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,20,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,21,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,22,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,23,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,25,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,fucus,27,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,8,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,16,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,18,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,19,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,21,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,22,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,23,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,24,5,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,25,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,26,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,125,SP12,semibalanus,28,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,17,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,18,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,19,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,20,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,21,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,22,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,23,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,chthamalus/balanus,24,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,11,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,21,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,22,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,23,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,24,5,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,25,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,26,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,27,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,28,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,fucus,30,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,126,SU12,semibalanus,26,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,12,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,15,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,18,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,19,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,20,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,22,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,23,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,24,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,chthamalus/balanus,25,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,semibalanus,5,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,semibalanus,8,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,semibalanus,9,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,semibalanus,10,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,semibalanus,20,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,130,SU13,semibalanus,23,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,134,SU14,chthamalus/balanus,22,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,134,SU14,chthamalus/balanus,23,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,134,SU14,chthamalus/balanus,24,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,138,SU15,chthamalus/balanus,24,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,138,SU15,chthamalus/balanus,25,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,138,SU15,chthamalus/balanus,26,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,138,SU15,chthamalus/balanus,27,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,138,SU15,chthamalus/balanus,28,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,7,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,15,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,17,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,18,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,19,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,20,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,21,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,22,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,23,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,24,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,28,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,chthamalus/balanus,30,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,6,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,12,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,16,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,17,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,19,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,20,4,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,21,3,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,22,2,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,24,1,Nucella spp
SAGE,Sage Rock,1720,57.04869843,-135.32314,AK,142,SU16,semibalanus,31,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,10,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,11,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,12,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,14,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,15,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,16,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,17,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,18,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,19,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,20,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,chthamalus/balanus,21,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,6,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,9,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,10,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,12,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,13,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,14,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,16,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,126,SU12,fucus,18,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,10,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,12,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,14,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,15,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,16,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,17,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,18,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,19,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,chthamalus/balanus,20,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,9,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,11,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,12,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,13,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,14,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,15,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,16,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,17,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,18,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,19,8,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,130,SU13,fucus,20,7,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,5,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,12,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,16,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,17,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,18,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,19,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,20,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,21,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,chthamalus/balanus,22,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,8,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,9,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,10,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,11,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,12,6,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,13,6,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,134,SU14,fucus,19,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,15,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,16,8,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,17,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,18,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,19,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,20,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,21,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,23,2,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,27,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,chthamalus/balanus,,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,15,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,16,7,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,17,12,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,18,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,19,8,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,20,6,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,138,SU15,fucus,22,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,14,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,15,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,16,8,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,17,8,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,18,5,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,19,4,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,chthamalus/balanus,23,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,16,1,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,17,7,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,18,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,19,14,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,20,6,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,21,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,22,3,Nucella spp
PIRA,Pirates Cove,1740,56.98661041,-135.37755,AK,142,SU16,fucus,,7,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,118,SU10,fucus,5,10,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,118,SU10,fucus,12,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,122,SU11,chthamalus/balanus,7,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,122,SU11,chthamalus/balanus,14,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,122,SU11,chthamalus/balanus,23,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,122,SU11,chthamalus/balanus,26,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,130,SU13,chthamalus/balanus,9,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,130,SU13,chthamalus/balanus,14,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,130,SU13,fucus,13,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,138,SU15,chthamalus/balanus,11,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,138,SU15,chthamalus/balanus,13,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,138,SU15,chthamalus/balanus,16,1,Nucella spp
SBSE,Saddlebag SE,3270,48.53430176,-122.5549,WA Salish Sea,138,SU15,chthamalus/balanus,17,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,118,SU10,fucus,5,11,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,122,SU11,chthamalus/balanus,15,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,122,SU11,chthamalus/balanus,25,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,122,SU11,chthamalus/balanus,30,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,122,SU11,chthamalus/balanus,31,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,10,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,11,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,13,3,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,14,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,16,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,17,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,19,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,126,SU12,chthamalus/balanus,20,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,11,3,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,13,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,14,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,15,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,16,6,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,17,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,18,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,21,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,23,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,24,3,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,25,4,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,26,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,130,SU13,chthamalus/balanus,29,2,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,134,SU14,chthamalus/balanus,13.5,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,134,SU14,chthamalus/balanus,20,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,134,SU14,chthamalus/balanus,21,1,Nucella spp
HATW,Hat Island West,3280,48.52352905,-122.55222,WA Salish Sea,134,SU14,fucus,,1,Nucella spp
